,protein,ligand1,ligand2,lambdai,y_pred
0,MCL1,32,46,0.5,31.27734
1,MCL1,32,46,0.499,31.376173
2,MCL1,32,46,0.498,31.47721
3,MCL1,32,46,0.497,31.582207
4,MCL1,32,46,0.496,31.70237
5,MCL1,32,46,0.495,31.825693
6,MCL1,32,46,0.494,31.928993
7,MCL1,32,46,0.493,32.0355
8,MCL1,32,46,0.492,32.137108
9,MCL1,32,46,0.491,32.232956
10,MCL1,32,46,0.49,32.349945
11,MCL1,32,46,0.489,32.469475
12,MCL1,32,46,0.488,32.58929
13,MCL1,32,46,0.487,32.708473
14,MCL1,32,46,0.486,32.82485
15,MCL1,32,46,0.485,32.948547
16,MCL1,32,46,0.484,33.10946
17,MCL1,32,46,0.483,33.267906
18,MCL1,32,46,0.482,33.426334
19,MCL1,32,46,0.481,33.57933
20,MCL1,32,46,0.48,33.72733
21,MCL1,32,46,0.479,33.8755
22,MCL1,32,46,0.478,34.024693
23,MCL1,32,46,0.477,34.17508
24,MCL1,32,46,0.476,34.325577
25,MCL1,32,46,0.475,34.468964
26,MCL1,32,46,0.474,34.615463
27,MCL1,32,46,0.473,34.76408
28,MCL1,32,46,0.472,34.9164
29,MCL1,32,46,0.471,35.065533
30,MCL1,32,46,0.47,35.2126
31,MCL1,32,46,0.469,35.35789
32,MCL1,32,46,0.468,35.49037
33,MCL1,32,46,0.467,35.618546
34,MCL1,32,46,0.466,35.751472
35,MCL1,32,46,0.465,35.886814
36,MCL1,32,46,0.464,35.98975
37,MCL1,32,46,0.463,36.097366
38,MCL1,32,46,0.462,36.206894
39,MCL1,32,46,0.461,36.298573
40,MCL1,32,46,0.46,36.373917
41,MCL1,32,46,0.459,36.43933
42,MCL1,32,46,0.458,36.50238
43,MCL1,32,46,0.457,36.587624
44,MCL1,32,46,0.456,36.7003
45,MCL1,32,46,0.455,36.80882
46,MCL1,32,46,0.454,36.91876
47,MCL1,32,46,0.453,37.048355
48,MCL1,32,46,0.452,37.186657
49,MCL1,32,46,0.451,37.328335
50,MCL1,32,46,0.45,37.46755
51,MCL1,32,46,0.449,37.606785
52,MCL1,32,46,0.448,37.733604
53,MCL1,32,46,0.447,37.85866
54,MCL1,32,46,0.446,37.98407
55,MCL1,32,46,0.445,38.109608
56,MCL1,32,46,0.444,38.237946
57,MCL1,32,46,0.443,38.36964
58,MCL1,32,46,0.442,38.49268
59,MCL1,32,46,0.441,38.61818
60,MCL1,32,46,0.44,38.748466
61,MCL1,32,46,0.439,38.879036
62,MCL1,32,46,0.438,39.014843
63,MCL1,32,46,0.437,39.153313
64,MCL1,32,46,0.436,39.294407
65,MCL1,32,46,0.435,39.437786
66,MCL1,32,46,0.434,39.58371
67,MCL1,32,46,0.433,39.732937
68,MCL1,32,46,0.432,39.88372
69,MCL1,32,46,0.431,40.032505
70,MCL1,32,46,0.43,40.18088
71,MCL1,32,46,0.429,40.332256
72,MCL1,32,46,0.428,40.484795
73,MCL1,32,46,0.427,40.640007
74,MCL1,32,46,0.426,40.79933
75,MCL1,32,46,0.425,40.96424
76,MCL1,32,46,0.424,41.127728
77,MCL1,32,46,0.423,41.29018
78,MCL1,32,46,0.422,41.44958
79,MCL1,32,46,0.421,41.60706
80,MCL1,32,46,0.42,41.76462
81,MCL1,32,46,0.419,41.922813
82,MCL1,32,46,0.418,42.080837
83,MCL1,32,46,0.417,42.24172
84,MCL1,32,46,0.416,42.403652
85,MCL1,32,46,0.415,42.57274
86,MCL1,32,46,0.414,42.749195
87,MCL1,32,46,0.413,42.91655
88,MCL1,32,46,0.412,43.09245
89,MCL1,32,46,0.411,43.28354
90,MCL1,32,46,0.41,43.506706
91,MCL1,32,46,0.409,43.741325
92,MCL1,32,46,0.408,43.985867
93,MCL1,32,46,0.407,44.233273
94,MCL1,32,46,0.406,44.54808
95,MCL1,32,46,0.405,44.862587
96,MCL1,32,46,0.404,45.19329
97,MCL1,32,46,0.403,45.53034
98,MCL1,32,46,0.402,45.868687
99,MCL1,32,46,0.401,46.168316
100,MCL1,32,46,0.4,46.463505
101,MCL1,32,46,0.399,46.752003
102,MCL1,32,46,0.398,47.016155
103,MCL1,32,46,0.397,47.267
104,MCL1,32,46,0.396,47.49427
105,MCL1,32,46,0.395,47.72305
106,MCL1,32,46,0.394,47.921196
107,MCL1,32,46,0.393,48.105923
108,MCL1,32,46,0.392,48.290466
109,MCL1,32,46,0.391,48.463657
110,MCL1,32,46,0.39,48.613422
111,MCL1,32,46,0.389,48.73552
112,MCL1,32,46,0.388,48.856907
113,MCL1,32,46,0.387,48.978237
114,MCL1,32,46,0.386,49.099663
115,MCL1,32,46,0.385,49.2193
116,MCL1,32,46,0.384,49.336693
117,MCL1,32,46,0.383,49.453636
118,MCL1,32,46,0.382,49.570576
119,MCL1,32,46,0.381,49.68772
120,MCL1,32,46,0.38,49.80684
121,MCL1,32,46,0.379,49.929726
122,MCL1,32,46,0.378,50.049137
123,MCL1,32,46,0.377,50.167133
124,MCL1,32,46,0.376,50.285164
125,MCL1,32,46,0.375,50.403175
126,MCL1,32,46,0.374,50.512722
127,MCL1,32,46,0.373,50.60064
128,MCL1,32,46,0.372,50.688538
129,MCL1,32,46,0.371,50.776413
130,MCL1,32,46,0.37,50.86552
131,MCL1,32,46,0.369,50.945217
132,MCL1,32,46,0.368,51.024933
133,MCL1,32,46,0.367,51.104668
134,MCL1,32,46,0.366,51.184376
135,MCL1,32,46,0.365,51.26408
136,MCL1,32,46,0.364,51.344433
137,MCL1,32,46,0.363,51.4244
138,MCL1,32,46,0.362,51.503994
139,MCL1,32,46,0.361,51.583584
140,MCL1,32,46,0.36,51.66319
141,MCL1,32,46,0.359,51.742775
142,MCL1,32,46,0.358,51.822334
143,MCL1,32,46,0.357,51.901947
144,MCL1,32,46,0.356,51.98157
145,MCL1,32,46,0.355,52.061134
146,MCL1,32,46,0.354,52.143333
147,MCL1,32,46,0.353,52.22846
148,MCL1,32,46,0.352,52.313606
149,MCL1,32,46,0.351,52.39874
150,MCL1,32,46,0.35,52.483906
151,MCL1,32,46,0.349,52.574074
152,MCL1,32,46,0.348,52.703156
153,MCL1,32,46,0.347,52.832222
154,MCL1,32,46,0.346,52.961296
155,MCL1,32,46,0.345,53.09202
156,MCL1,32,46,0.344,53.222546
157,MCL1,32,46,0.343,53.356037
158,MCL1,32,46,0.342,53.488827
159,MCL1,32,46,0.341,53.621628
160,MCL1,32,46,0.34,53.75439
161,MCL1,32,46,0.339,53.887173
162,MCL1,32,46,0.338,54.019848
163,MCL1,32,46,0.337,54.152504
164,MCL1,32,46,0.336,54.28518
165,MCL1,32,46,0.335,54.417255
166,MCL1,32,46,0.334,54.548172
167,MCL1,32,46,0.333,54.679066
168,MCL1,32,46,0.332,54.810387
169,MCL1,32,46,0.331,54.941704
170,MCL1,32,46,0.33,55.073017
171,MCL1,32,46,0.329,55.20438
172,MCL1,32,46,0.328,55.322636
173,MCL1,32,46,0.327,55.4391
174,MCL1,32,46,0.326,55.557533
175,MCL1,32,46,0.325,55.677868
176,MCL1,32,46,0.324,55.79817
177,MCL1,32,46,0.323,55.90505
178,MCL1,32,46,0.322,56.011265
179,MCL1,32,46,0.321,56.1175
180,MCL1,32,46,0.32,56.223724
181,MCL1,32,46,0.319,56.3299
182,MCL1,32,46,0.318,56.43566
183,MCL1,32,46,0.317,56.541504
184,MCL1,32,46,0.316,56.647778
185,MCL1,32,46,0.315,56.754112
186,MCL1,32,46,0.314,56.857357
187,MCL1,32,46,0.313,56.95278
188,MCL1,32,46,0.312,57.043182
189,MCL1,32,46,0.311,57.1201
190,MCL1,32,46,0.31,57.197517
191,MCL1,32,46,0.309,57.274525
192,MCL1,32,46,0.308,57.350693
193,MCL1,32,46,0.307,57.42438
194,MCL1,32,46,0.306,57.492836
195,MCL1,32,46,0.305,57.561317
196,MCL1,32,46,0.304,57.629784
197,MCL1,32,46,0.303,57.69826
198,MCL1,32,46,0.302,57.76671
199,MCL1,32,46,0.301,57.83519
200,MCL1,32,46,0.3,57.90366
201,MCL1,32,46,0.299,57.97212
202,MCL1,32,46,0.298,58.04059
203,MCL1,32,46,0.297,58.109066
204,MCL1,32,46,0.296,58.175163
205,MCL1,32,46,0.295,58.241165
206,MCL1,32,46,0.294,58.30723
207,MCL1,32,46,0.293,58.373276
208,MCL1,32,46,0.292,58.43933
209,MCL1,32,46,0.291,58.505386
210,MCL1,32,46,0.29,58.571407
211,MCL1,32,46,0.289,58.63747
212,MCL1,32,46,0.288,58.703526
213,MCL1,32,46,0.287,58.769566
214,MCL1,32,46,0.286,58.835606
215,MCL1,32,46,0.285,58.901672
216,MCL1,32,46,0.284,58.9677
217,MCL1,32,46,0.283,59.03375
218,MCL1,32,46,0.282,59.099964
219,MCL1,32,46,0.281,59.166264
220,MCL1,32,46,0.28,59.23256
221,MCL1,32,46,0.279,59.29885
222,MCL1,32,46,0.278,59.365154
223,MCL1,32,46,0.277,59.431446
224,MCL1,32,46,0.276,59.497738
225,MCL1,32,46,0.275,59.56403
226,MCL1,32,46,0.274,59.630325
227,MCL1,32,46,0.273,59.696636
228,MCL1,32,46,0.272,59.76292
229,MCL1,32,46,0.271,59.829224
230,MCL1,32,46,0.27,59.895527
231,MCL1,32,46,0.269,59.961815
232,MCL1,32,46,0.268,60.028103
233,MCL1,32,46,0.267,60.09441
234,MCL1,32,46,0.266,60.160103
235,MCL1,32,46,0.265,60.225716
236,MCL1,32,46,0.264,60.29131
237,MCL1,32,46,0.263,60.340725
238,MCL1,32,46,0.262,60.380985
239,MCL1,32,46,0.261,60.402756
240,MCL1,32,46,0.26,60.419456
241,MCL1,32,46,0.259,60.436188
242,MCL1,32,46,0.258,60.452774
243,MCL1,32,46,0.257,60.46921
244,MCL1,32,46,0.256,60.485626
245,MCL1,32,46,0.255,60.502045
246,MCL1,32,46,0.254,60.518433
247,MCL1,32,46,0.253,60.533257
248,MCL1,32,46,0.252,60.524223
249,MCL1,32,46,0.251,60.51516
250,MCL1,32,46,0.25,60.50609
251,MCL1,32,46,0.249,60.49702
252,MCL1,32,46,0.248,60.487946
253,MCL1,32,46,0.247,60.478867
254,MCL1,32,46,0.246,60.469833
255,MCL1,32,46,0.245,60.412933
256,MCL1,32,46,0.244,60.345085
257,MCL1,32,46,0.243,60.245296
258,MCL1,32,46,0.242,60.084522
259,MCL1,32,46,0.241,59.911636
260,MCL1,32,46,0.24,59.737835
261,MCL1,32,46,0.239,59.56402
262,MCL1,32,46,0.238,59.39022
263,MCL1,32,46,0.237,59.216366
264,MCL1,32,46,0.236,59.04256
265,MCL1,32,46,0.235,58.868782
266,MCL1,32,46,0.234,58.694927
267,MCL1,32,46,0.233,58.521107
268,MCL1,32,46,0.232,58.34731
269,MCL1,32,46,0.231,58.173283
270,MCL1,32,46,0.23,57.99302
271,MCL1,32,46,0.229,57.812725
272,MCL1,32,46,0.228,57.63243
273,MCL1,32,46,0.227,57.451054
274,MCL1,32,46,0.226,57.268578
275,MCL1,32,46,0.225,57.086136
276,MCL1,32,46,0.224,56.902065
277,MCL1,32,46,0.223,56.71709
278,MCL1,32,46,0.222,56.532097
279,MCL1,32,46,0.221,56.347107
280,MCL1,32,46,0.22,56.16211
281,MCL1,32,46,0.219,55.97688
282,MCL1,32,46,0.218,55.789135
283,MCL1,32,46,0.217,55.60149
284,MCL1,32,46,0.216,55.394894
285,MCL1,32,46,0.215,55.1862
286,MCL1,32,46,0.214,54.9768
287,MCL1,32,46,0.213,54.743114
288,MCL1,32,46,0.212,54.512318
289,MCL1,32,46,0.211,54.28472
290,MCL1,32,46,0.21,54.05709
291,MCL1,32,46,0.209,53.828197
292,MCL1,32,46,0.208,53.599377
293,MCL1,32,46,0.207,53.37059
294,MCL1,32,46,0.206,53.1403
295,MCL1,32,46,0.205,52.909256
296,MCL1,32,46,0.204,52.677383
297,MCL1,32,46,0.203,52.452747
298,MCL1,32,46,0.202,52.230183
299,MCL1,32,46,0.201,52.007652
300,MCL1,32,46,0.2,51.825405
301,MCL1,32,46,0.199,51.67666
302,MCL1,32,46,0.198,51.530144
303,MCL1,32,46,0.197,51.391945
304,MCL1,32,46,0.196,51.253765
305,MCL1,32,46,0.195,51.115585
306,MCL1,32,46,0.194,50.977383
307,MCL1,32,46,0.193,50.83919
308,MCL1,32,46,0.192,50.701
309,MCL1,32,46,0.191,50.55871
310,MCL1,32,46,0.19,50.402473
311,MCL1,32,46,0.189,50.24389
312,MCL1,32,46,0.188,50.085304
313,MCL1,32,46,0.187,49.927082
314,MCL1,32,46,0.186,49.768925
315,MCL1,32,46,0.185,49.610786
316,MCL1,32,46,0.184,49.45263
317,MCL1,32,46,0.183,49.29448
318,MCL1,32,46,0.182,49.140408
319,MCL1,32,46,0.181,48.988358
320,MCL1,32,46,0.18,48.833317
321,MCL1,32,46,0.179,48.674496
322,MCL1,32,46,0.178,48.51319
323,MCL1,32,46,0.177,48.352795
324,MCL1,32,46,0.176,48.18361
325,MCL1,32,46,0.175,47.96923
326,MCL1,32,46,0.174,47.74248
327,MCL1,32,46,0.173,47.49485
328,MCL1,32,46,0.172,47.211502
329,MCL1,32,46,0.171,46.914722
330,MCL1,32,46,0.17,46.581326
331,MCL1,32,46,0.169,46.23684
332,MCL1,32,46,0.168,45.904926
333,MCL1,32,46,0.167,45.55094
334,MCL1,32,46,0.166,45.19745
335,MCL1,32,46,0.165,44.843662
336,MCL1,32,46,0.164,44.4963
337,MCL1,32,46,0.163,44.160522
338,MCL1,32,46,0.162,43.79859
339,MCL1,32,46,0.161,43.41739
340,MCL1,32,46,0.16,43.02235
341,MCL1,32,46,0.159,42.7145
342,MCL1,32,46,0.158,42.454014
343,MCL1,32,46,0.157,42.220467
344,MCL1,32,46,0.156,42.02569
345,MCL1,32,46,0.155,41.847923
346,MCL1,32,46,0.154,41.676216
347,MCL1,32,46,0.153,41.512226
348,MCL1,32,46,0.152,41.34527
349,MCL1,32,46,0.151,41.176865
350,MCL1,32,46,0.15,41.009518
351,MCL1,32,46,0.149,40.84005
352,MCL1,32,46,0.148,40.67996
353,MCL1,32,46,0.147,40.52128
354,MCL1,32,46,0.146,40.363503
355,MCL1,32,46,0.145,40.209995
356,MCL1,32,46,0.144,40.059002
357,MCL1,32,46,0.143,39.91044
358,MCL1,32,46,0.142,39.767525
359,MCL1,32,46,0.141,39.61375
360,MCL1,32,46,0.14,39.427006
361,MCL1,32,46,0.139,39.23537
362,MCL1,32,46,0.138,39.049423
363,MCL1,32,46,0.137,38.870327
364,MCL1,32,46,0.136,38.697166
365,MCL1,32,46,0.135,38.530193
366,MCL1,32,46,0.134,38.368576
367,MCL1,32,46,0.133,38.20834
368,MCL1,32,46,0.132,38.05357
369,MCL1,32,46,0.131,37.881767
370,MCL1,32,46,0.13,37.709614
371,MCL1,32,46,0.129,37.551006
372,MCL1,32,46,0.128,37.398674
373,MCL1,32,46,0.127,37.242565
374,MCL1,32,46,0.126,37.0718
375,MCL1,32,46,0.125,36.918533
376,MCL1,32,46,0.124,36.7483
377,MCL1,32,46,0.123,36.608543
378,MCL1,32,46,0.122,36.48167
379,MCL1,32,46,0.121,36.35818
380,MCL1,32,46,0.12,36.199146
381,MCL1,32,46,0.119,36.03708
382,MCL1,32,46,0.118,35.860413
383,MCL1,32,46,0.117,35.70076
384,MCL1,32,46,0.116,35.54187
385,MCL1,32,46,0.115,35.371964
386,MCL1,32,46,0.114,35.193703
387,MCL1,32,46,0.113,35.017303
388,MCL1,32,46,0.112,34.82968
389,MCL1,32,46,0.111,34.644337
390,MCL1,32,46,0.11,34.450043
391,MCL1,32,46,0.109,34.256245
392,MCL1,32,46,0.108,34.05583
393,MCL1,32,46,0.107,33.848186
394,MCL1,32,46,0.106,33.641228
395,MCL1,32,46,0.105,33.434944
396,MCL1,32,46,0.104,33.21691
397,MCL1,32,46,0.103,32.996807
398,MCL1,32,46,0.102,32.768814
399,MCL1,32,46,0.101,32.537693
400,MCL1,32,46,0.1,32.30957
401,MCL1,32,46,0.099,32.128395
402,MCL1,32,46,0.098,31.930971
403,MCL1,32,46,0.097,31.710264
404,MCL1,32,46,0.096,31.460125
405,MCL1,32,46,0.095,31.292036
406,MCL1,32,46,0.094,31.135767
407,MCL1,32,46,0.093,30.98868
408,MCL1,32,46,0.092,30.84226
409,MCL1,32,46,0.091,30.699015
410,MCL1,32,46,0.09,30.543442
411,MCL1,32,46,0.089,30.376152
412,MCL1,32,46,0.088,30.197306
413,MCL1,32,46,0.087,29.997486
414,MCL1,32,46,0.086,29.787521
415,MCL1,32,46,0.085,29.559483
416,MCL1,32,46,0.084,29.34472
417,MCL1,32,46,0.083,29.12954
418,MCL1,32,46,0.082,28.922277
419,MCL1,32,46,0.081,28.708902
420,MCL1,32,46,0.08,28.503086
421,MCL1,32,46,0.079,28.289158
422,MCL1,32,46,0.078,28.0681
423,MCL1,32,46,0.077,27.868153
424,MCL1,32,46,0.076,27.677904
425,MCL1,32,46,0.075,27.469734
426,MCL1,32,46,0.074,27.22261
427,MCL1,32,46,0.073,26.950666
428,MCL1,32,46,0.072,26.670406
429,MCL1,32,46,0.071,26.435196
430,MCL1,32,46,0.07,26.152885
431,MCL1,32,46,0.069,25.815874
432,MCL1,32,46,0.068,25.461727
433,MCL1,32,46,0.067,25.079182
434,MCL1,32,46,0.066,24.682169
435,MCL1,32,46,0.065,24.324322
436,MCL1,32,46,0.064,23.915321
437,MCL1,32,46,0.063,23.425646
438,MCL1,32,46,0.062,22.9342
439,MCL1,32,46,0.061,22.414616
440,MCL1,32,46,0.06,21.929735
441,MCL1,32,46,0.059,21.62992
442,MCL1,32,46,0.058,21.335117
443,MCL1,32,46,0.057,21.047497
444,MCL1,32,46,0.056,20.801817
445,MCL1,32,46,0.055,20.592634
446,MCL1,32,46,0.054,20.3781
447,MCL1,32,46,0.053,20.171457
448,MCL1,32,46,0.052,19.970186
449,MCL1,32,46,0.051,19.78159
450,MCL1,32,46,0.05,19.591501
451,MCL1,32,46,0.049,19.404234
452,MCL1,32,46,0.048,19.212423
453,MCL1,32,46,0.047,19.020943
454,MCL1,32,46,0.046,18.836145
455,MCL1,32,46,0.045,18.642263
456,MCL1,32,46,0.044,18.406342
457,MCL1,32,46,0.043,18.18151
458,MCL1,32,46,0.042,17.98359
459,MCL1,32,46,0.041,17.7978
460,MCL1,32,46,0.04,17.610687
461,MCL1,32,46,0.039,17.422466
462,MCL1,32,46,0.038,17.237915
463,MCL1,32,46,0.037,17.049112
464,MCL1,32,46,0.036,16.84083
465,MCL1,32,46,0.035,16.603304
466,MCL1,32,46,0.034,16.342253
467,MCL1,32,46,0.033,16.072832
468,MCL1,32,46,0.032,15.797547
469,MCL1,32,46,0.031,15.51531
470,MCL1,32,46,0.03,15.196867
471,MCL1,32,46,0.029,14.794592
472,MCL1,32,46,0.028,14.207988
473,MCL1,32,46,0.027,13.365468
474,MCL1,32,46,0.026,12.570749
475,MCL1,32,46,0.025,11.761624
476,MCL1,32,46,0.024,10.576596
477,MCL1,32,46,0.023,9.3168745
478,MCL1,32,46,0.022,8.168596
479,MCL1,32,46,0.021,7.0916176
480,MCL1,32,46,0.02,6.0890136
481,MCL1,32,46,0.019,5.3702474
482,MCL1,32,46,0.018,5.147112
483,MCL1,32,46,0.017,5.0064335
484,MCL1,32,46,0.016,4.8932786
485,MCL1,32,46,0.015,4.801736
486,MCL1,32,46,0.014,4.727569
487,MCL1,32,46,0.013,4.682729
488,MCL1,32,46,0.012,4.637887
489,MCL1,32,46,0.011,4.593046
490,MCL1,32,46,0.01,4.5482054
491,MCL1,32,46,0.009,4.5033636
492,MCL1,32,46,0.008,4.4584546
493,MCL1,32,46,0.007,4.4133677
494,MCL1,32,46,0.006,4.3682795
495,MCL1,32,46,0.005,4.323192
496,MCL1,32,46,0.004,4.278104
497,MCL1,32,46,0.003,4.233014
498,MCL1,32,46,0.002,4.1879244
499,MCL1,32,46,0.001,4.142836
500,MCL1,32,46,0.0,4.097746
501,MCL1,46,32,0.5,30.70368
